subject,section,traial,leftButton,rightButton,answer,leftTouched,rightTouched
6,7,71,2.25,2.25,4,2,3
6,7,72,2.25,1,7,2,4
6,7,73,2.25,1.375,6,2,4
6,7,74,2.25,1.25,7,3,9
6,7,75,2.25,2,5,12,9
6,7,76,2.25,1.625,5,3,3
6,7,77,2.25,1.875,5,4,4
6,8,78,1.25,1.375,4,7,5
6,8,79,1.25,2.125,3,12,7
6,8,80,1.25,1.75,2,4,5
6,8,81,1.25,2,3,9,10
6,8,82,1.25,2.25,3,3,6
6,8,83,1.25,1,4,5,3
6,8,84,1.25,1.5,2,1,2
6,8,85,1.25,1.125,4,2,2
6,8,86,1.25,1.875,3,9,11
6,8,87,1.25,1.625,3,1,2
6,8,88,1.25,1.25,3,3,4
6,9,89,1.125,1.375,3,3,2
6,9,90,1.125,1.125,4,1,2
6,9,91,1.125,1.75,2,3,3
6,9,92,1.125,1.25,3,2,2
6,9,93,1.125,2,2,4,4
6,9,94,1.125,1.625,2,5,7
6,9,95,1.125,1,4,2,2
6,9,96,1.125,1.875,3,10,9
6,9,97,1.125,2.125,3,7,8
6,9,98,1.125,2.25,3,3,3
6,9,99,1.125,1.5,3,1,2
6,10,100,2.125,1.375,5,2,3
6,10,101,2.125,1.875,6,4,5
6,10,102,2.125,2.125,4,6,5
6,10,103,2.125,1.125,6,2,3
6,10,104,2.125,1,6,3,3
6,10,105,2.125,2,5,4,5
6,10,106,2.125,1.75,5,7,5
6,10,107,2.125,1.625,6,4,2
6,10,108,2.125,1.25,6,2,2
6,10,109,2.125,1.5,5,2,4
